d35	date_d1_HTDMA	k35	d50	date_d50_HTDMA	k_HTDMA_D50	d75	date_d75_HTDMA	k_HTDMA_D75	d110	date_d110_HTDMA	k_HTDMA_D110	d165	date_d165_HTDMA	k_HTDMA_D165	d265	date_d265_HTDMA	k_HTDMA_D265
35	21.05.2015 19:57:26	0.154859513	50	21.05.2015 01:11:49	0.042662142	75	21.05.2015 15:11:57	0.360781255	110	21.05.2015 15:16:25	0.278246667	165	21.05.2015 16:50:00	0.340908673	265	21.05.2015 13:33:17	0.420265644
35	21.05.2015 21:40:18	0.084219969	50	21.05.2015 01:38:41	0.034810235	75	21.05.2015 16:14:12	0.239894781	110	21.05.2015 16:18:41	0.323904185	165	21.05.2015 17:43:00	0.400441043	265	21.05.2015 14:00:12	0.649316574
35	26.05.2015 21:44:49	0.152421431	50	21.05.2015 02:37:04	0.033336159	75	21.05.2015 17:12:34	0.307341106	110	21.05.2015 17:17:03	0.435411832	165	21.05.2015 18:37:00	0.533295614	265	21.05.2015 14:27:05	0.601568968
35	26.05.2015 23:49:21	0.090798654	50	21.05.2015 03:03:57	0.054285881	75	21.05.2015 18:06:21	0.253643849	110	21.05.2015 18:10:50	0.290924559	165	21.05.2015 19:44:00	0.351052294	265	21.05.2015 14:58:30	0.546439429
35	27.05.2015 01:46:07	0.057346552	50	21.05.2015 03:30:55	0.066116807	75	21.05.2015 19:07:03	0.293855173	110	21.05.2015 19:11:31	0.335226825	165	21.05.2015 20:42:00	0.428518084	265	21.05.2015 15:25:23	0.620607864
35	27.05.2015 02:48:12	0.089659137	50	21.05.2015 04:01:42	0.076412141	75	21.05.2015 20:06:28	0.183073644	110	21.05.2015 20:10:57	0.373480178	165	21.05.2015 21:53:00	0.237973806	265	21.05.2015 15:52:15	0.919506736
35	27.05.2015 05:00:54	0.061158203	50	21.05.2015 04:37:29	0.04457424	75	21.05.2015 21:04:43	0.210098802	110	21.05.2015 21:09:14	0.273351268	165	26.05.2015 15:28:00	0.259900117	265	21.05.2015 16:27:39	0.466088364
35	27.05.2015 08:40:00	0.132943671	50	21.05.2015 05:04:21	0.086119685	75	26.05.2015 13:36:07	0.126292747	110	26.05.2015 13:48:28	0.208202034	165	26.05.2015 16:31:00	0.323424803	265	26.05.2015 22:38:40	0.309578228
35	27.05.2015 13:04:55	0.150057218	50	21.05.2015 05:31:15	0.086315221	75	26.05.2015 15:23:45	0.231595996	110	26.05.2015 15:28:15	0.27421307	165	26.05.2015 18:01:00	0.2794073	265	26.05.2015 23:44:53	0.27037594
35	27.05.2015 15:10:23	0.131706624	50	21.05.2015 06:40:43	0.085973118	75	26.05.2015 16:26:38	0.400706975	110	26.05.2015 16:31:07	0.311732475	165	26.05.2015 19:13:00	0.361779552	265	27.05.2015 00:00:00	0.718608154
35	27.05.2015 17:12:47	0.146187252	50	21.05.2015 07:42:45	0.117617898	75	26.05.2015 17:42:14	0.351557767	110	26.05.2015 18:01:19	0.287475557	165	26.05.2015 20:33:00	0.30691764	265	27.05.2015 00:43:19	0.366461029
35	27.05.2015 19:19:01	0.179565836	50	21.05.2015 08:09:38	0.234681778	75	26.05.2015 19:09:13	0.286589909	110	26.05.2015 19:13:43	0.239156353	165	26.05.2015 21:31:00	0.237984471	265	27.05.2015 01:41:39	0.535809489
35	27.05.2015 21:39:45	0.099610426	50	21.05.2015 08:39:55	0.113382946	75	26.05.2015 20:28:37	0.374757851	110	26.05.2015 20:33:07	0.369648296	165	26.05.2015 22:29:00	0.32883524	265	27.05.2015 02:09:15	0.352068551
35	27.05.2015 23:52:28	0.072424416	50	21.05.2015 09:06:51	0.12536338	75	26.05.2015 21:26:55	0.2284825	110	26.05.2015 21:31:23	0.248857893	165	26.05.2015 23:27:00	0.253967972	265	27.05.2015 02:43:44	0.297310354
35	28.05.2015 02:19:27	0.061605114	50	21.05.2015 09:33:45	0.13514693	75	26.05.2015 22:25:13	0.249989114	110	26.05.2015 22:29:41	0.371860706	165	27.05.2015 00:34:00	0.388934099	265	27.05.2015 03:10:37	0.392017546
35	28.05.2015 04:00:53	0.074481516	50	21.05.2015 10:02:25	0.190457901	75	26.05.2015 23:23:30	0.22260113	110	26.05.2015 23:27:58	0.310808142	165	27.05.2015 01:32:00	0.347455573	265	27.05.2015 03:42:01	0.435934594
35	28.05.2015 06:19:47	0.069920639	50	21.05.2015 10:29:18	0.15064694	75	27.05.2015 00:29:51	0.143035554	110	27.05.2015 00:34:20	0.249365579	165	27.05.2015 02:34:00	0.229958757	265	27.05.2015 04:08:54	0.318630557
35	28.05.2015 08:26:17	0.083783313	50	21.05.2015 11:27:40	0.145371296	75	27.05.2015 01:28:08	0.174447471	110	27.05.2015 01:32:36	0.291223761	165	27.05.2015 03:33:00	0.27283447	265	27.05.2015 04:51:53	0.338983876
35	29.05.2015 02:45:26	0.029285005	50	21.05.2015 11:54:35	0.082911953	75	27.05.2015 02:30:17	0.155325584	110	27.05.2015 02:34:47	0.181199452	165	27.05.2015 04:36:00	0.266148207	265	27.05.2015 05:28:31	0.544587175
35	29.05.2015 04:42:05	0.046207729	50	21.05.2015 12:21:34	0.155635691	75	27.05.2015 03:28:33	0.147402	110	27.05.2015 03:33:04	0.262008464	165	27.05.2015 05:54:00	0.445793937	265	27.05.2015 06:03:42	0.65570264
35	29.05.2015 06:38:43	0.083202117	50	21.05.2015 12:48:27	0.189291959	75	27.05.2015 04:31:38	0.272241094	110	27.05.2015 04:36:07	0.287382363	165	27.05.2015 08:26:00	0.367997399	265	27.05.2015 08:35:31	0.706190449
35	29.05.2015 08:35:06	0.18210467	50	21.05.2015 13:15:23	0.214892612	75	27.05.2015 05:50:12	0.205906425	110	27.05.2015 05:54:45	0.313327281	165	27.05.2015 10:08:00	0.439888903	265	27.05.2015 11:17:05	0.310145304
35	29.05.2015 10:31:41	0.186454539	50	21.05.2015 13:42:15	0.178680719	75	27.05.2015 08:22:06	0.210649709	110	27.05.2015 08:26:35	0.32894628	165	27.05.2015 12:51:00	0.454213599	265	27.05.2015 16:07:02	0.885886506
35	29.05.2015 12:28:19	0.154740234	50	21.05.2015 14:09:11	0.173282961	75	27.05.2015 10:04:12	0.22697876	110	27.05.2015 10:08:40	0.313528837	165	27.05.2015 14:12:00	0.420515674	265	27.05.2015 17:08:18	0.675812511
35	29.05.2015 15:23:15	0.133902443	50	21.05.2015 15:07:27	0.22399372	75	27.05.2015 12:46:55	0.206874889	110	27.05.2015 12:51:24	0.304460102	165	27.05.2015 15:23:00	0.327870218	265	27.05.2015 19:52:32	0.179439281
35	29.05.2015 17:24:24	0.114770905	50	21.05.2015 15:34:20	0.192864026	75	27.05.2015 14:07:55	0.269873594	110	27.05.2015 14:12:26	0.349478159	165	27.05.2015 16:24:00	0.441977025	265	27.05.2015 20:23:57	0.424915441
35	29.05.2015 19:20:56	0.13781971	50	21.05.2015 16:09:44	0.167829487	75	27.05.2015 15:19:21	0.318866163	110	27.05.2015 15:23:50	0.354850221	165	27.05.2015 17:26:00	0.49055018	265	27.05.2015 21:35:14	0.159539241
35	29.05.2015 21:29:17	0.055374684	50	21.05.2015 17:08:05	0.263588969	75	27.05.2015 16:20:29	0.314507182	110	27.05.2015 16:24:58	0.35408271	165	27.05.2015 18:29:00	0.337668262	265	27.05.2015 22:06:08	0.592973349
35	29.05.2015 23:42:23	0.054982166	50	21.05.2015 17:34:58	0.158213806	75	27.05.2015 17:21:43	0.254757581	110	27.05.2015 17:26:12	0.305386626	165	27.05.2015 19:41:00	0.274873922	265	27.05.2015 22:45:40	0.266972302
35	30.05.2015 02:08:28	0.033137724	50	21.05.2015 18:01:52	0.195545182	75	27.05.2015 18:24:34	0.235388086	110	27.05.2015 18:29:04	0.345391173	165	27.05.2015 20:47:00	0.293165672	265	27.05.2015 23:14:54	0.277167609
35	30.05.2015 07:41:14	0.058360381	50	21.05.2015 18:55:37	0.154799869	75	27.05.2015 19:37:07	0.308746717	110	27.05.2015 19:41:36	0.312755634	165	27.05.2015 21:57:00	0.264359537	265	28.05.2015 00:19:06	0.42339417
35	30.05.2015 09:29:33	0.13429796	50	21.05.2015 19:35:03	0.160505921	75	27.05.2015 20:37:24	0.252503693	110	27.05.2015 20:47:07	0.326589236	165	27.05.2015 23:03:00	0.258561326	265	28.05.2015 00:55:18	0.339492298
35	30.05.2015 11:58:31	0.152065893	50	21.05.2015 20:01:55	0.167583273	75	27.05.2015 21:48:44	0.190974153	110	27.05.2015 21:57:09	0.307333382	165	28.05.2015 00:10:00	0.262950738	265	28.05.2015 01:29:57	0.67017121
35	30.05.2015 14:52:26	0.120488713	50	21.05.2015 21:00:15	0.094042324	75	27.05.2015 22:59:07	0.1454885	110	27.05.2015 23:03:35	0.204570726	165	28.05.2015 01:20:00	0.281314387	265	28.05.2015 02:12:06	0.313639953
35	30.05.2015 18:10:02	0.104136757	50	21.05.2015 21:44:47	0.04967943	75	28.05.2015 00:00:00	0.300172502	110	28.05.2015 00:10:08	0.19993233	165	28.05.2015 02:39:00	0.233801209	265	28.05.2015 02:56:11	0.249526258
35	30.05.2015 19:08:20	0.137249422	50	26.05.2015 13:31:36	0.131987403	75	28.05.2015 01:13:36	0.183279671	110	28.05.2015 01:20:58	0.197368985	165	28.05.2015 04:21:00	0.239130504	265	28.05.2015 03:51:26	0.276247215
35	30.05.2015 21:04:47	0.082091391	50	26.05.2015 14:23:13	0.161535537	75	28.05.2015 02:34:50	0.171285611	110	28.05.2015 02:39:19	0.233987415	165	28.05.2015 06:04:00	0.241080115	265	28.05.2015 04:35:20	0.271211035
35	30.05.2015 23:39:17	0.073217393	50	26.05.2015 15:19:16	0.1726597	75	28.05.2015 04:16:50	0.195071086	110	28.05.2015 04:21:18	0.215079212	165	28.05.2015 07:06:00	0.247486528	265	28.05.2015 05:33:10	0.241044152
35	01.06.2015 16:13:17	0.081513565	50	26.05.2015 21:49:18	0.146187252	75	28.05.2015 05:59:54	0.155941544	110	28.05.2015 06:04:26	0.218197849	165	29.05.2015 00:03:00	0.23375949	265	28.05.2015 06:15:19	0.301133059
35	01.06.2015 18:09:53	0.099610426	50	26.05.2015 22:47:38	0.107678432	75	28.05.2015 07:02:01	0.116683328	110	28.05.2015 07:06:30	0.245926955	165	29.05.2015 01:02:00	0.186330833	265	28.05.2015 06:43:02	0.467689563
